,ID,P,V,A,Efectividad,DIM
0,080001,7,18,0,28.0,236.875
1,080003,4,6,0,40.0,240.0
2,080005,2,1,0,66.6666666667,249.0
3,080009,3,7,0,30.0,252.33333333299998
4,080010,2,0,0,100.0,315.0
5,080013,4,13,0,23.529411764699997,201.8
6,080020,3,4,0,42.8571428571,261.75
7,080021,9,19,0,32.1428571429,233.857142857
8,080025,1,4,0,20.0,296.0
9,080025SD,0,0,1,0.0,249.0
10,080031,2,3,0,40.0,251.0
11,080034,4,0,0,100.0,197.33333333299998
12,080040,5,3,0,62.5,203.0
13,080042,8,15,1,33.3333333333,271.833333333
14,080048,5,4,2,45.4545454545,262.75
15,080054,5,25,0,16.6666666667,287.166666667
16,080057,5,21,0,19.2307692308,272.333333333
17,080069,8,23,0,25.8064516129,205.25
18,080071,1,0,0,100.0,355.0
19,080080CA,3,15,0,16.6666666667,251.16666666700002
20,080085,5,3,0,62.5,212.66666666700002
21,080094,2,4,0,33.3333333333,213.0
22,080097,1,0,0,100.0,115.0
23,080099SD,1,17,0,5.55555555556,281.25
24,080113,3,1,0,75.0,247.0
25,080116,2,3,0,40.0,230.0
26,080125,5,12,0,29.4117647059,213.4
27,080131,8,35,0,18.6046511628,235.28571428599997
28,080134,3,10,0,23.0769230769,298.0
29,080140,1,3,0,25.0,214.5
30,080151,4,19,0,17.3913043478,231.4
31,080153,4,30,0,11.7647058824,268.0
32,080175,10,19,0,34.482758620700004,233.71428571400003
33,080177,0,1,0,0.0,193.0
34,080180,5,21,0,19.2307692308,254.2
35,080192,7,20,0,25.925925925900003,244.857142857
36,080197,1,4,0,20.0,223.0
37,080198,5,30,0,14.2857142857,316.0
38,080211,3,7,0,30.0,288.333333333
39,080217,3,5,0,37.5,228.5
40,080219,7,23,0,23.3333333333,268.0
41,080220,1,0,0,100.0,189.0
42,080222,2,6,0,25.0,252.66666666700002
43,080224,1,0,0,100.0,150.0
44,080244,4,8,0,33.3333333333,215.5
45,080248,2,3,1,33.3333333333,305.5
46,080250SD,0,2,0,0.0,214.0
47,080252SD,2,8,0,20.0,168.83333333299998
49,08082CA,1,7,0,12.5,327.0
50,088000SD,1,3,0,25.0,276.0
51,088019SD,1,3,0,25.0,208.5
53,088067SD,2,4,0,33.3333333333,204.33333333299998
54,088075SD,1,0,0,100.0,103.0
55,088085SD,3,3,0,50.0,140.33333333299998
56,088090SD,6,13,0,31.5789473684,262.2
58,088108SD,1,4,0,20.0,239.5
59,088218SD,3,9,0,25.0,213.75
62,088276CP,3,8,1,25.0,214.33333333299998
63,090002HO,4,22,0,15.3846153846,281.0
64,090003HO,2,2,0,50.0,253.5
65,090004HO,3,6,0,33.3333333333,272.0
66,090006CP,6,20,0,23.0769230769,274.6
67,090006HO,6,26,0,18.75,282.166666667
68,090007HO,9,28,0,24.324324324299997,263.333333333
69,090008HO,1,1,0,50.0,177.0
70,090009HO,8,18,0,30.7692307692,228.625
71,090010HO,8,13,1,36.3636363636,197.0
72,090011HO,1,1,0,50.0,329.0
73,090012HO,5,12,1,27.7777777778,267.0
81,090012HO,0,1,0,0.0,267.0
74,090053HO,1,2,0,33.3333333333,241.5
113,090053HO,2,5,0,28.5714285714,241.5
75,090054HO,4,3,0,57.1428571429,226.75
76,090055HO,8,19,0,29.6296296296,247.66666666700002
77,090056HO,4,12,0,25.0,243.2
78,090057HO,1,16,0,5.882352941180001,403.0
79,090058HO,3,19,1,13.043478260899999,379.33333333300004
80,090059HO,1,6,0,14.2857142857,283.5
82,090013HO,3,3,0,50.0,214.25
83,090014HO,5,10,2,29.4117647059,307.0
84,090015HO,9,22,0,29.0322580645,260.285714286
85,090016CP,5,28,0,15.151515151500002,302.25
86,090016HO,0,2,0,0.0,327.0
87,090017HO,4,10,0,28.5714285714,246.0
88,090018HO,3,14,0,17.6470588235,257.0
89,090021HO,6,21,0,22.2222222222,279.666666667
90,090024HO,1,7,0,12.5,399.0
91,090026HO,3,6,0,33.3333333333,280.333333333
92,090027HO,3,0,0,100.0,224.66666666700002
93,090028HO,1,10,0,9.090909090910001,367.5
94,090030HO,1,11,0,8.333333333330001,308.0
95,090031HO,5,16,0,23.809523809499996,258.2
96,090032HO,5,27,0,15.625,222.2
97,090033HO,7,25,0,21.875,250.42857142900002
98,090034HO,5,10,0,33.3333333333,207.6
99,090035HO,3,4,0,42.8571428571,234.0
100,090036HO,7,20,0,25.925925925900003,254.16666666700002
101,090039HO,3,2,0,60.0,212.5
102,090040HO,4,3,0,57.1428571429,229.0
103,090041HO,8,30,0,21.0526315789,238.42857142900002
104,090042HO,10,30,1,24.390243902399998,311.0
105,090043HO,7,30,1,18.421052631600002,332.2
106,090044HO,6,16,0,27.2727272727,237.0
107,090047HO,2,1,0,66.6666666667,262.0
108,090048HO,5,10,0,33.3333333333,248.4
109,090049HO,5,14,0,26.315789473699997,260.666666667
110,090050HO,4,10,0,28.5714285714,278.25
111,090051HO,3,3,0,50.0,243.33333333299998
112,090052HO,3,1,1,60.0,254.33333333299998
114,090060HO,3,29,0,9.375,426.66666666699996
115,090061HO,2,1,0,66.6666666667,229.5
116,090063HO,4,14,0,22.2222222222,261.0
117,090065HO,6,15,1,27.2727272727,247.142857143
123,090065HO,1,5,0,16.6666666667,247.142857143
118,090124HO,1,5,0,16.6666666667,283.0
149,090124HO,5,23,0,17.8571428571,283.0
119,090127HO,9,26,0,25.714285714299997,302.0
120,090128HO,6,19,0,24.0,268.166666667
121,090131HO,7,27,0,20.588235294100002,266.571428571
122,090132HO,6,14,0,30.0,279.333333333
150,090132HO,0,5,0,0.0,279.333333333
124,090069HO,5,27,0,15.625,268.833333333
125,090070HO,1,10,0,9.090909090910001,317.5
126,090072HO,2,1,0,66.6666666667,234.0
127,090078HO,3,3,1,42.8571428571,314.5
128,090079HO,2,1,0,66.6666666667,236.0
129,090080HO,2,11,1,14.2857142857,382.5
130,090082HO,7,15,1,30.434782608699997,235.57142857099998
131,090086HO,3,11,0,21.428571428599998,318.666666667
133,090088HO,7,24,0,22.5806451613,237.142857143
134,090089HO,1,6,0,14.2857142857,254.5
135,090090HO,6,15,1,27.2727272727,260.0
136,090091CA,8,16,2,30.7692307692,250.83333333299998
137,090091HO,2,0,0,100.0,260.5
138,090092HO,4,21,0,16.0,266.8
139,090094HO,8,26,1,22.8571428571,293.333333333
140,090097HO,5,10,0,33.3333333333,229.0
141,090099HO,9,28,2,23.0769230769,275.833333333
142,090101HO,7,22,0,24.1379310345,247.142857143
143,090103HO,7,22,0,24.1379310345,243.28571428599997
144,090106HO,8,31,0,20.5128205128,269.166666667
145,090107HO,4,6,0,40.0,238.0
146,090108HO,5,29,0,14.7058823529,284.2
147,090109HO,5,15,1,23.809523809499996,255.5
148,090110HO,7,24,0,22.5806451613,276.0
151,090137HO,8,32,0,20.0,247.0
152,090140HO,3,1,0,75.0,265.5
153,090144HO,1,1,0,50.0,249.5
154,090145HO,2,5,0,28.5714285714,207.66666666700002
155,090147HO,1,4,0,20.0,287.5
156,090148HO,2,11,0,15.3846153846,360.5
157,090150HO,8,26,0,23.529411764699997,272.333333333
158,090151HO,0,2,0,0.0,261.0
159,090155HO,5,14,0,26.315789473699997,221.0
160,090156HO,8,25,0,24.2424242424,257.857142857
161,090157HO,2,26,0,7.1428571428600005,430.0
162,090159HO,8,26,0,23.529411764699997,254.33333333299998
163,090161HO,7,29,0,19.444444444400002,302.166666667
164,090162HO,11,30,1,26.190476190500004,272.0
165,090163CP,5,17,2,20.8333333333,265.5
166,090164HO,7,28,0,20.0,327.6
167,090167HO,7,24,0,22.5806451613,274.0
169,090170HO,5,24,0,17.2413793103,299.4
170,090174HO,3,5,0,37.5,240.5
171,090175HO,9,17,0,34.6153846154,271.714285714
172,090177HO,8,23,1,25.0,310.333333333
173,090178HO,1,0,0,100.0,313.0
174,090179HO,5,23,0,17.8571428571,226.5
175,090181HO,2,4,0,33.3333333333,174.66666666700002
176,090186HO,1,4,0,20.0,205.5
177,090189HO,6,27,0,18.1818181818,303.333333333
178,090193HO,2,6,0,25.0,319.0
179,090195HO,1,3,0,25.0,372.0
180,090198HO,6,24,0,20.0,255.33333333299998
181,090203HO,2,5,0,28.5714285714,210.33333333299998
182,090205HO,5,10,1,31.25,422.5
183,090206HO,7,31,0,18.421052631600002,234.28571428599997
184,090217HO,2,25,0,7.407407407410001,410.66666666699996
185,090218HO,6,14,1,28.5714285714,260.0
186,090219HO,5,9,0,35.7142857143,241.33333333299998
187,090227HO,4,1,0,80.0,162.0
188,090228HO,6,19,0,24.0,273.833333333
189,090232HO,2,1,0,66.6666666667,232.0
190,090233HO,2,0,0,100.0,108.0
191,090238HO,0,11,0,0.0,577.0
192,090247HO,3,7,0,30.0,263.333333333
193,090250HO,1,1,0,50.0,145.0
194,090267HO,6,20,0,23.0769230769,236.0
195,090269HO,6,21,0,22.2222222222,259.333333333
196,090270HO,3,20,0,13.043478260899999,369.25
197,090273HO,8,28,0,22.2222222222,255.71428571400003
198,090275HO,5,23,0,17.8571428571,252.66666666700002
199,090277HO,7,22,0,24.1379310345,277.5
200,090294HO,4,3,0,57.1428571429,162.0
201,090297HO,4,4,0,50.0,249.0
202,090303HO,1,10,0,9.090909090910001,225.5
203,090331HO,0,2,0,0.0,121.0
204,090332HO,2,3,0,40.0,334.5
205,090339HO,4,28,0,12.5,268.2
206,090343HO,2,1,0,66.6666666667,238.5
207,090347HO,1,6,0,14.2857142857,191.5
208,090351HO,6,18,0,25.0,183.83333333299998
209,090356HO,7,33,0,17.5,271.6
210,090368HO,1,0,0,100.0,176.0
211,090369HO,2,8,0,20.0,207.0
212,090370HO,0,1,0,0.0,262.0
213,090374HO,2,4,0,33.3333333333,273.333333333
214,090378HO,6,22,4,18.75,292.0
215,090384HO,5,23,0,17.8571428571,235.33333333299998
216,090385HO,1,16,0,5.882352941180001,393.0
217,090386HO,9,23,0,28.125,222.0
218,090388HO,3,21,0,12.5,370.0
219,090389HO,8,33,0,19.512195122,246.33333333299998
220,090399HO,6,25,1,18.75,304.5
221,090400HO,8,27,0,22.8571428571,258.333333333
222,090401HO,6,30,0,16.6666666667,291.166666667
223,090402HO,3,7,0,30.0,305.5
224,090404HO,2,10,0,16.6666666667,310.0
225,090405HO,3,9,0,25.0,267.5
226,090406HO,7,24,0,22.5806451613,324.5
227,090407HO,3,22,1,11.538461538499998,374.33333333300004
228,090416HO,1,2,0,33.3333333333,173.0
229,090417HO,5,12,0,29.4117647059,181.0
230,090418HO,4,3,0,57.1428571429,199.66666666700002
231,090421HO,3,1,1,60.0,310.0
232,090422HO,1,2,0,33.3333333333,217.0
233,090424HO,4,3,0,57.1428571429,270.666666667
234,090425HO,1,2,0,33.3333333333,282.0
235,090427HO,8,26,0,23.529411764699997,215.0
236,090428HO,2,8,0,20.0,248.0
237,090431HO,4,14,0,22.2222222222,237.0
238,090440HO,1,0,0,100.0,260.0
239,090441HO,7,33,0,17.5,353.25
240,090442HO,0,14,0,0.0,512.0
241,090449HO,7,22,0,24.1379310345,216.42857142900002
242,090450HO,1,3,0,25.0,251.5
243,090451HO,2,2,0,50.0,310.0
244,090452HO,6,24,1,19.3548387097,242.83333333299998
245,090454HO,4,21,0,16.0,225.6
246,090455HO,8,26,0,23.529411764699997,314.5
247,090456HO,0,9,0,0.0,320.0
248,090457HO,6,27,0,18.1818181818,268.0
249,090461HO,3,0,0,100.0,192.66666666700002
250,090462HO,9,13,0,40.9090909091,253.42857142900002
251,090466HO,1,4,0,20.0,228.0
252,090467HO,7,28,0,20.0,258.333333333
253,090471HO,6,15,0,28.5714285714,213.2
254,090475HO,3,15,0,16.6666666667,335.333333333
255,090479HO,5,24,1,16.6666666667,357.25
256,090483HO,1,1,0,50.0,263.0
257,090484HO,8,33,0,19.512195122,324.333333333
258,090486HO,1,3,0,25.0,268.5
259,090495HO,1,3,0,25.0,272.0
260,090497HO,0,9,0,0.0,445.0
261,090498HO,5,22,0,18.5185185185,342.4
262,090506HO,7,24,0,22.5806451613,230.42857142900002
263,090507HO,3,4,0,42.8571428571,150.33333333299998
264,090509HO,9,24,0,27.2727272727,262.428571429
265,090512HO,2,0,0,100.0,209.0
266,090513HO,9,24,1,26.470588235300003,236.142857143
267,090514HO,4,0,1,80.0,288.0
268,090517HO,1,1,0,50.0,138.5
269,090519HO,1,2,0,33.3333333333,208.5
270,090523HO,2,5,0,28.5714285714,241.0
271,090536HO,0,2,0,0.0,230.0
272,090537HO,7,8,0,46.6666666667,200.2
273,090547HO,1,5,0,16.6666666667,311.0
274,090551HO,2,29,0,6.451612903230001,383.0
275,090566HO,1,8,0,11.1111111111,279.0
276,090569HO,1,3,0,25.0,217.5
277,090581HO,3,17,0,15.0,246.25
278,090584HO,2,1,0,66.6666666667,208.5
279,090586HO,6,28,0,17.6470588235,317.5
280,090612HO,6,23,0,20.6896551724,270.571428571
281,090614HO,6,19,2,22.2222222222,413.66666666699996
282,090621HO,7,20,1,25.0,331.0
283,090627HO,0,2,0,0.0,182.0
284,090631HO,0,9,0,0.0,473.0
285,090640HO,0,3,0,0.0,236.0
286,090641HO,3,13,0,18.75,252.25
287,090644HO,1,1,0,50.0,222.0
288,090645HO,7,28,0,20.0,246.28571428599997
289,090648HO,1,6,0,14.2857142857,208.5
290,090652HO,1,4,0,20.0,236.0
291,090678HO,6,22,2,20.0,252.4
292,090680HO,7,29,0,19.444444444400002,277.5
293,090683HO,1,3,0,25.0,195.0
294,090684HO,2,1,0,66.6666666667,194.33333333299998
295,090685HO,3,25,0,10.714285714299999,383.33333333300004
296,090687HO,1,5,0,16.6666666667,229.5
297,090689HO,5,29,0,14.7058823529,304.6
298,090716HO,5,6,1,41.6666666667,266.75
299,090721HO,2,14,0,12.5,260.666666667
300,090737HO,6,25,0,19.3548387097,298.2
301,090740HO,4,12,0,25.0,304.25
302,090741HO,7,20,0,25.925925925900003,242.66666666700002
303,090742HO,1,5,0,16.6666666667,241.0
305,090743JE,4,10,0,28.5714285714,225.6
306,090744HO,4,23,0,14.8148148148,272.8
307,090746HO,6,12,2,30.0,240.75
308,090759HO,8,23,0,25.8064516129,277.857142857
309,090766HO,9,20,0,31.034482758600003,272.571428571
310,090768HO,8,33,0,19.512195122,306.666666667
311,090779HO,3,18,0,14.2857142857,258.5
312,090780HO,2,2,0,50.0,206.0
313,090782HO,0,3,0,0.0,209.0
314,090783HO,8,24,0,25.0,261.571428571
315,090796HO,8,20,0,28.5714285714,264.333333333
316,090797HO,2,3,0,40.0,300.5
317,090798HO,3,5,0,37.5,332.5
318,090812HO,7,25,0,21.875,223.142857143
319,090814HO,5,5,0,50.0,223.0
320,090816CP,2,30,0,6.25,304.333333333
321,090825HO,6,33,0,15.3846153846,270.333333333
322,090884HO,6,33,1,15.0,367.75
323,090895HO,3,24,0,11.1111111111,297.0
324,09092CA,3,0,0,100.0,100.0
325,09096CA,1,1,0,50.0,147.5
326,09097CA,1,4,0,20.0,299.5
328,099008CP,1,3,0,25.0,66.0
329,099057CP,7,25,0,21.875,234.0
331,099235CP,7,22,1,23.3333333333,233.16666666700002
332,099687CP,3,18,0,14.2857142857,193.75
334,100000HO,0,2,0,0.0,221.0
335,100001CP,2,5,0,28.5714285714,207.0
336,100001HO,8,28,0,22.2222222222,283.4
337,100002HO,4,6,0,40.0,183.0
338,100003HO,10,29,0,25.641025641,265.6
339,100004HO,2,0,0,100.0,79.0
340,100005HO,3,2,0,60.0,158.0
341,100006HO,4,5,0,44.4444444444,295.5
342,100007HO,1,0,0,100.0,96.0
343,100008HO,3,6,0,33.3333333333,235.66666666700002
344,100009HO,6,31,0,16.2162162162,283.8
345,100010HO,2,4,0,33.3333333333,234.0
346,100011HO,3,17,0,15.0,259.666666667
347,100012HO,1,6,0,14.2857142857,359.0
348,100013CP,3,15,0,16.6666666667,245.66666666700002
349,100013HO,3,1,0,75.0,185.0
350,100014HO,7,24,0,22.5806451613,303.0
351,100015HO,3,20,0,13.043478260899999,270.333333333
352,100016HO,3,5,0,37.5,202.5
353,100017HO,3,11,0,21.428571428599998,293.5
354,100018HO,8,29,0,21.6216216216,225.0
355,100019HO,2,15,0,11.7647058824,340.0
356,100021HO,3,7,0,30.0,285.0
357,100022HO,4,4,0,50.0,222.0
358,100023HO,1,0,0,100.0,93.0
359,100024HO,10,26,1,27.027027027,300.166666667
360,100025HO,2,1,0,66.6666666667,209.5
361,100026HO,3,1,0,75.0,239.5
362,100027HO,2,7,0,22.2222222222,233.0
363,100028HO,3,12,0,20.0,262.5
364,100029HO,7,23,1,22.5806451613,273.0
365,100030HO,8,30,0,21.0526315789,219.66666666700002
366,100031HO,10,24,0,29.4117647059,238.28571428599997
367,100032HO,4,10,0,28.5714285714,180.5
368,100033HO,6,8,0,42.8571428571,180.2
369,100034HO,9,25,1,25.714285714299997,252.2
370,100035HO,3,5,0,37.5,274.5
371,100036HO,5,18,1,20.8333333333,284.75
372,100037HO,5,36,0,12.195121951199999,306.0
373,100038HO,7,19,1,25.925925925900003,376.0
374,100040HO,9,16,0,36.0,260.0
375,100042HO,2,5,0,28.5714285714,176.0
376,100043HO,10,6,1,58.8235294118,248.0
377,100044HO,3,8,0,27.2727272727,288.0
378,100046JE,1,6,0,14.2857142857,267.0
379,100047HO,4,10,1,26.6666666667,237.66666666700002
380,100048CP,0,5,0,0.0,230.0
381,100048HO,4,34,0,10.5263157895,363.66666666699996
383,100051CP,3,16,0,15.7894736842,264.4
384,100051HO,3,3,0,50.0,157.0
385,100052HO,2,2,0,50.0,187.5
386,100053JE,4,4,0,50.0,194.5
387,100054HO,4,9,0,30.7692307692,164.0
388,100055CP,3,3,0,50.0,174.5
389,100055HO,2,8,0,20.0,243.0
390,100056HO,3,2,0,60.0,114.0
391,100060HO,8,28,1,21.6216216216,333.8
392,100062HO,1,2,0,33.3333333333,233.0
393,100063HO,7,27,0,20.588235294100002,261.8
394,100064HO,2,0,0,100.0,181.0
395,100065HO,1,3,0,25.0,180.0
396,100066HO,7,22,0,24.1379310345,252.16666666700002
397,100067HO,4,31,0,11.4285714286,319.75
398,100068HO,2,1,1,50.0,123.5
399,100069HO,2,1,0,66.6666666667,180.0
400,100070HO,2,0,0,100.0,165.0
401,100071HO,5,30,0,14.2857142857,304.5
402,100072HO,3,5,0,37.5,176.66666666700002
403,100073HO,3,7,0,30.0,267.5
404,100074HO,4,15,0,21.0526315789,252.0
405,100075HO,5,31,0,13.8888888889,383.0
406,100076HO,10,29,1,25.0,179.66666666700002
407,100077HO,2,6,0,25.0,281.0
408,100078HO,3,23,0,11.538461538499998,262.333333333
410,100080HO,6,24,0,20.0,247.66666666700002
411,100081HO,1,4,0,20.0,267.0
412,100082HO,8,27,0,22.8571428571,275.5
413,100083HO,5,12,0,29.4117647059,243.0
414,100085HO,11,25,0,30.555555555599998,224.5
415,100086HO,3,19,0,13.6363636364,257.666666667
416,100087HO,3,3,0,50.0,185.0
417,100088HO,2,1,0,66.6666666667,252.0
418,100089HO,8,20,1,27.5862068966,262.0
419,100090HO,1,0,0,100.0,37.0
420,100091HO,8,24,0,25.0,232.16666666700002
421,100092HO,8,33,0,19.512195122,293.0
422,100093HO,2,5,0,28.5714285714,198.5
423,100094HO,5,29,0,14.7058823529,311.2
424,100096HO,8,26,0,23.529411764699997,189.83333333299998
425,100097HO,5,24,0,17.2413793103,387.0
426,100098HO,8,29,0,21.6216216216,239.33333333299998
427,100099HO,4,17,0,19.0476190476,284.0
428,100100HO,3,7,0,30.0,209.66666666700002
429,100101HO,2,3,0,40.0,347.0
430,100102HO,2,7,0,22.2222222222,289.5
431,100103HO,3,11,1,20.0,266.5
432,100104HO,4,11,0,26.6666666667,176.66666666700002
433,100104ME,3,9,0,25.0,253.5
434,100105HO,2,0,0,100.0,197.0
435,100106HO,9,25,0,26.470588235300003,194.857142857
436,100107HO,2,17,0,10.5263157895,330.5
437,100108HO,3,6,0,33.3333333333,316.0
438,100109HO,5,9,0,35.7142857143,167.75
439,100110HO,4,13,0,23.529411764699997,222.0
440,100111HO,2,0,0,100.0,121.0
441,100113HO,3,2,0,60.0,203.5
442,100114JE,2,0,0,100.0,151.5
444,100116JE,5,22,0,18.5185185185,230.4
445,100117HO,2,5,0,28.5714285714,249.0
446,100119CP,4,20,0,16.6666666667,142.6
447,100119JE,4,16,0,20.0,227.0
448,100120HO,2,2,0,50.0,193.5
449,100121HO,7,14,0,33.3333333333,223.0
450,100122HO,1,6,0,14.2857142857,355.0
451,100123HO,1,2,0,33.3333333333,53.0
452,100125HO,1,5,0,16.6666666667,297.0
453,100126HO,2,1,0,66.6666666667,185.0
454,100127JE,5,16,0,23.809523809499996,243.0
455,100129HO,7,28,0,20.0,275.2
456,100130HO,4,2,1,57.1428571429,286.0
457,100131HO,2,5,1,25.0,405.0
458,100132HO,4,39,0,9.3023255814,345.75
459,100134HO,3,6,0,33.3333333333,225.5
460,100135CP,2,6,1,22.2222222222,303.0
461,100135HO,2,5,0,28.5714285714,204.5
462,100136HO,6,32,0,15.7894736842,321.5
463,100137HO,3,7,0,30.0,186.5
464,100138HO,2,7,1,20.0,437.0
465,100139HO,3,6,1,30.0,380.0
466,100140HO,3,4,0,42.8571428571,308.0
467,100142HO,2,5,0,28.5714285714,149.5
468,100143HO,1,7,0,12.5,476.0
469,100143ME,2,14,0,12.5,455.0
470,100147HO,1,4,0,20.0,235.0
471,100148HO,2,12,0,14.2857142857,321.5
472,100150HO,2,14,0,12.5,307.0
473,100151HO,3,0,0,100.0,34.0
474,100152HO,1,1,0,50.0,83.0
475,100154HO,3,21,0,12.5,363.66666666699996
476,100156HO,3,3,0,50.0,207.0
477,100157HO,7,23,0,23.3333333333,218.8
478,100158HO,2,8,0,20.0,405.0
479,100160HO,5,9,0,35.7142857143,286.0
480,100164HO,2,0,0,100.0,193.0
481,100167HO,4,15,0,21.0526315789,293.666666667
482,100170HO,3,3,0,50.0,54.5
483,100175HO,1,1,0,50.0,49.0
484,100178HO,7,26,0,21.2121212121,231.16666666700002
485,100179HO,1,4,0,20.0,224.0
486,100184HO,2,1,0,66.6666666667,200.0
487,100185HO,2,0,0,100.0,164.0
489,100191HO,1,3,0,25.0,217.0
490,100193HO,3,0,0,100.0,162.0
491,100195HO,4,20,0,16.6666666667,295.25
492,100196HO,8,21,0,27.5862068966,206.8
493,100197HO,6,26,0,18.75,327.5
494,100199HO,3,2,0,60.0,242.5
495,100200HO,6,26,0,18.75,318.6
496,100201HO,5,6,1,41.6666666667,241.0
497,100202HO,7,23,1,22.5806451613,270.8
498,100203HO,4,10,1,26.6666666667,151.5
499,100204HO,1,3,0,25.0,45.0
500,100206HO,2,11,0,15.3846153846,311.0
501,100207HO,2,2,0,50.0,145.0
502,100207ME,1,1,0,50.0,9.0
503,100208HO,5,24,0,17.2413793103,293.8
504,100209HO,8,26,1,22.8571428571,259.833333333
505,100213HO,2,0,0,100.0,39.0
506,100215CP,4,32,0,11.1111111111,381.0
507,100215HO,1,1,0,50.0,168.0
508,100218HO,5,15,0,25.0,210.0
509,100225HO,6,17,1,25.0,287.75
510,100226HO,3,5,1,33.3333333333,493.0
