,ID,P,V,A,Efectividad,DIM
511,100232HO,7,23,0,23.3333333333,240.2
512,100234HO,4,6,0,40.0,278.0
513,100235HO,4,6,0,40.0,212.5
514,100237HO,3,6,1,30.0,355.0
515,100238HO,2,4,0,33.3333333333,431.0
516,100242CP,6,24,0,20.0,190.0
517,100245CP,5,23,0,17.8571428571,224.0
518,100246CP,5,26,1,15.625,281.666666667
519,100247CP,3,13,0,18.75,162.66666666700002
520,100249CP,2,21,1,8.333333333330001,335.0
521,100254HO,2,1,0,66.6666666667,42.0
522,100255HO,6,16,0,27.2727272727,244.25
523,100256HO,9,25,0,26.470588235300003,251.83333333299998
524,100258HO,4,26,0,13.333333333299999,366.25
525,100264CP,6,24,1,19.3548387097,186.8
526,100268HO,4,1,0,80.0,176.0
527,100278CP,4,26,0,13.333333333299999,239.25
528,100280HO,1,1,0,50.0,32.0
529,100291HO,1,3,0,25.0,211.0
530,100297HO,6,13,0,31.5789473684,165.83333333299998
531,100299HO,1,1,0,50.0,47.0
532,100301HO,4,11,0,26.6666666667,274.0
533,100309CP,5,12,0,29.4117647059,249.0
534,100317HO,1,3,0,25.0,159.0
535,100320HO,9,22,1,28.125,307.0
536,100321HO,1,3,0,25.0,48.0
537,100322HO,1,6,0,14.2857142857,228.0
538,100328HO,8,7,0,53.3333333333,205.4
539,100332HO,1,1,0,50.0,42.0
540,100337CP,6,22,0,21.428571428599998,179.8
541,100338HO,7,27,0,20.588235294100002,193.66666666700002
542,100339CP,2,4,0,33.3333333333,241.0
543,100340HO,3,27,0,10.0,446.33333333300004
545,100347HO,9,24,2,25.714285714299997,278.166666667
546,100351CP,5,20,1,19.2307692308,273.0
547,100351HO,1,7,0,12.5,369.0
548,100352CP,7,25,1,21.2121212121,356.5
549,100352HO,5,21,0,19.2307692308,291.25
551,100370HO,5,15,1,23.809523809499996,341.0
552,100373HO,3,15,0,16.6666666667,308.666666667
553,100377HO,7,25,0,21.875,255.83333333299998
554,100387HO,8,28,1,21.6216216216,292.4
555,100388HO,6,9,0,40.0,105.0
556,100389HO,6,15,0,28.5714285714,249.4
558,100394HO,3,3,0,50.0,178.5
559,100402HO,1,2,0,33.3333333333,60.0
560,100406HO,3,3,0,50.0,266.0
561,100412HO,7,30,0,18.9189189189,348.25
562,100413HO,3,14,0,17.6470588235,180.33333333299998
563,100417HO,7,21,0,25.0,220.16666666700002
564,100419HO,2,3,0,40.0,190.0
565,100423HO,6,24,0,20.0,253.6
566,100424HO,1,7,0,12.5,245.0
567,100425HO,5,21,1,18.5185185185,325.333333333
569,100429HO,1,2,0,33.3333333333,167.0
570,100430HO,4,11,0,26.6666666667,259.0
571,100431HO,2,1,0,66.6666666667,35.0
572,100433HO,1,1,0,50.0,178.0
573,100434HO,2,1,0,66.6666666667,174.5
574,100435HO,9,28,0,24.324324324299997,300.2
575,100436HO,1,5,0,16.6666666667,273.0
576,100437HO,3,12,1,18.75,314.5
577,100438HO,4,2,0,66.6666666667,279.0
578,100439HO,2,0,0,100.0,154.0
579,100440HO,8,19,0,29.6296296296,277.6
580,100441HO,3,17,0,15.0,278.666666667
582,100443HO,2,0,0,100.0,159.0
583,100448HO,5,15,0,25.0,264.4
585,100450HO,4,17,1,18.1818181818,294.333333333
586,100451HO,9,16,0,36.0,214.57142857099998
587,100452HO,4,14,0,22.2222222222,195.0
588,100458HO,5,18,0,21.7391304348,303.25
589,100459HO,1,3,0,25.0,208.0
590,100460HO,5,12,1,27.7777777778,269.25
591,100461HO,8,23,1,25.0,269.4
592,100463HO,1,6,0,14.2857142857,421.0
593,100464HO,1,8,0,11.1111111111,376.0
594,100476HO,7,26,0,21.2121212121,259.6
595,100480HO,1,5,0,16.6666666667,223.0
597,100481HO,2,20,0,9.090909090910001,412.5
598,100485HO,3,4,0,42.8571428571,123.0
599,100487HO,1,2,0,33.3333333333,178.0
600,100489HO,1,2,0,33.3333333333,8.0
602,100497HO,7,28,0,20.0,298.4
603,100498HO,5,22,0,18.5185185185,284.4
604,100504HO,4,7,0,36.3636363636,172.0
605,100505HO,5,36,0,12.195121951199999,293.25
606,100509HO,2,9,0,18.1818181818,228.5
607,100510HO,4,3,0,57.1428571429,220.5
609,100520HO,1,5,0,16.6666666667,294.0
611,100526HO,1,2,0,33.3333333333,86.0
612,100527HO,2,1,1,50.0,338.0
613,100529HO,7,29,1,18.9189189189,251.25
614,100530HO,4,17,0,19.0476190476,248.75
616,100534HO,3,14,0,17.6470588235,170.66666666700002
617,100539HO,4,16,0,20.0,165.0
618,100540HO,4,24,1,13.7931034483,299.333333333
619,100542HO,1,4,0,20.0,131.0
620,100544HO,7,26,0,21.2121212121,216.66666666700002
621,100551HO,4,16,0,20.0,229.0
622,100552HO,1,2,0,33.3333333333,86.0
624,100561HO,1,2,0,33.3333333333,168.0
625,100563HO,7,19,1,25.925925925900003,308.6
626,100564HO,2,3,0,40.0,271.0
627,100576HO,2,5,0,28.5714285714,353.0
628,100600HO,2,4,1,28.5714285714,467.0
629,100602HO,9,28,0,24.324324324299997,178.0
630,100603HO,1,5,0,16.6666666667,173.0
631,100618HO,2,2,0,50.0,40.5
632,100620HO,1,3,0,25.0,122.0
633,100621HO,8,27,0,22.8571428571,268.4
634,100622HO,6,25,0,19.3548387097,329.25
635,100625HO,3,7,0,30.0,245.33333333299998
636,100626HO,6,18,0,25.0,241.2
637,100629HO,2,3,0,40.0,188.5
638,100649HO,2,9,0,18.1818181818,260.5
639,100661HO,8,36,0,18.1818181818,277.4
640,100665HO,2,0,0,100.0,125.0
641,100669HO,3,16,0,15.7894736842,229.33333333299998
642,100671HO,8,27,0,22.8571428571,262.5
643,100674HO,5,7,0,41.6666666667,193.66666666700002
644,100678HO,8,25,0,24.2424242424,267.166666667
645,100681HO,7,29,0,19.444444444400002,236.8
646,100682HO,2,8,0,20.0,313.0
647,100685HO,10,20,0,33.3333333333,239.2
648,100705HO,1,2,0,33.3333333333,132.0
649,100707HO,1,6,0,14.2857142857,412.0
650,100708HO,11,17,0,39.2857142857,350.75
651,100721HO,2,4,0,33.3333333333,166.0
652,100738HO,2,1,0,66.6666666667,273.0
653,100743HO,3,4,0,42.8571428571,160.5
654,100744HO,5,20,0,20.0,228.5
655,100745HO,2,10,0,16.6666666667,237.0
656,100747HO,8,22,0,26.6666666667,274.166666667
657,100764HO,5,24,2,16.1290322581,334.0
658,100767HO,8,29,2,20.5128205128,378.75
659,100769HO,10,31,0,24.390243902399998,204.33333333299998
660,100770HO,5,6,2,38.4615384615,338.666666667
661,100783HO,3,15,0,16.6666666667,216.66666666700002
662,100785HO,2,2,0,50.0,155.0
663,100786HO,3,7,0,30.0,195.0
665,100788HO,7,26,0,21.2121212121,291.75
666,100789HO,2,5,1,25.0,286.0
667,100807HO,1,1,0,50.0,172.0
668,100810HO,1,4,0,20.0,147.0
670,100816HO,1,8,0,11.1111111111,292.0
671,100824HO,3,3,0,50.0,162.5
672,100827HO,2,15,0,11.7647058824,352.0
673,100844HO,8,33,0,19.512195122,372.5
674,100845HO,7,31,1,17.9487179487,292.75
675,100853HO,6,11,1,33.3333333333,203.66666666700002
676,100856HO,2,3,0,40.0,200.0
677,100859HO,6,25,0,19.3548387097,274.5
678,100870HO,2,3,0,40.0,371.0
679,100886HO,4,4,1,44.4444444444,145.5
680,100887HO,6,16,0,27.2727272727,247.6
681,100889HO,6,22,0,21.428571428599998,317.6
682,100890HO,7,20,0,25.925925925900003,263.0
683,100898HO,3,1,1,60.0,113.0
684,100901HO,1,2,0,33.3333333333,96.0
685,100902HO,5,14,0,26.315789473699997,188.75
686,100935HO,8,20,0,28.5714285714,216.6
687,100937HO,3,17,0,15.0,258.0
688,100939HO,1,1,0,50.0,35.0
689,100941HO,6,24,0,20.0,299.8
690,100948HO,9,21,1,29.0322580645,244.66666666700002
691,100949HO,5,12,1,27.7777777778,286.666666667
692,100953HO,3,5,0,37.5,259.666666667
693,100955HO,4,7,0,36.3636363636,160.0
694,100958HO,1,2,0,33.3333333333,118.0
695,101000HO,2,6,0,25.0,163.5
696,101004HO,8,29,0,21.6216216216,225.66666666700002
697,101005HO,5,1,0,83.3333333333,123.0
698,101084CP,8,31,0,20.5128205128,318.0
699,110000HO,7,23,0,23.3333333333,288.0
700,110003CA,3,10,0,23.0769230769,202.33333333299998
701,110008JE,2,3,0,40.0,112.0
702,110009HO,6,24,0,20.0,208.4
703,110012HO,2,4,0,33.3333333333,97.0
706,110016HO,1,1,1,33.3333333333,0.0
707,110017HO,3,14,0,17.6470588235,225.33333333299998
708,110018HO,7,18,0,28.0,224.16666666700002
709,110019HO,4,12,0,25.0,158.33333333299998
710,110020HO,1,10,0,9.090909090910001,346.0
711,110021HO,2,25,0,7.407407407410001,349.5
712,110022JE,1,3,0,25.0,159.0
713,110023HO,2,9,0,18.1818181818,286.5
715,110025HO,1,1,0,50.0,43.0
716,110026JE,4,11,1,25.0,200.33333333299998
717,110027HO,4,34,0,10.5263157895,444.33333333300004
718,110028HO,4,24,0,14.2857142857,275.5
719,110029HO,6,24,0,20.0,187.6
721,110033HO,4,32,0,11.1111111111,195.25
722,110034HO,2,1,0,66.6666666667,187.0
723,110035HO,6,20,0,23.0769230769,219.4
724,110036HO,3,6,0,33.3333333333,225.0
725,110037HO,10,26,1,27.027027027,206.75
726,110038HO,3,11,0,21.428571428599998,182.33333333299998
727,110040HO,4,16,0,20.0,197.75
728,110041HO,9,18,0,33.3333333333,269.6
729,110044HO,5,29,0,14.7058823529,264.75
730,110045HO,5,29,0,14.7058823529,291.333333333
731,110046HO,2,6,0,25.0,165.5
732,110047HO,3,2,1,50.0,304.0
734,110049JE,4,21,1,15.3846153846,232.25
735,110050JE,5,14,1,25.0,224.5
737,110053HO,4,15,0,21.0526315789,181.75
738,110054HO,8,31,0,20.5128205128,264.0
739,110056HO,2,11,0,15.3846153846,286.5
740,110057HO,1,9,0,10.0,327.0
742,110058HO,4,16,1,19.0476190476,155.5
743,110059HO,11,23,2,30.555555555599998,308.75
744,110060JE,6,29,0,17.1428571429,323.5
745,110061HO,2,6,0,25.0,252.0
747,110063HO,1,0,1,50.0,0.0
748,110064HO,4,11,0,26.6666666667,186.0
749,110065HO,6,20,0,23.0769230769,191.5
750,110066HO,7,20,1,25.0,291.5
751,110067HO,2,4,0,33.3333333333,211.0
752,110069HO,3,4,1,37.5,265.0
753,110070HO,7,26,0,21.2121212121,268.2
754,110071HO,1,8,0,11.1111111111,226.0
755,110075HO,3,7,0,30.0,192.0
756,110076HO,2,10,0,16.6666666667,217.5
757,110078HO,3,14,0,17.6470588235,225.0
758,110081HO,4,6,0,40.0,140.0
759,110082HO,2,6,0,25.0,211.0
760,110084HO,1,6,0,14.2857142857,301.0
761,110096HO,6,22,0,21.428571428599998,271.5
762,110098HO,2,2,0,50.0,97.5
763,110100HO,7,18,0,28.0,287.8
764,110102HO,2,16,0,11.1111111111,384.0
765,110106HO,8,14,0,36.3636363636,226.0
766,110114HO,8,23,1,25.0,284.5
767,110115HO,1,5,0,16.6666666667,209.0
768,110115ME,3,8,0,27.2727272727,262.5
769,110116HO,6,22,0,21.428571428599998,234.0
770,110118HO,5,28,0,15.151515151500002,370.66666666699996
771,110120HO,5,22,0,18.5185185185,236.25
772,110126HO,3,35,0,7.894736842110001,392.0
773,110128HO,6,30,0,16.6666666667,226.2
774,110135HO,2,16,0,11.1111111111,302.0
775,110136HO,4,21,0,16.0,312.333333333
776,110139HO,1,7,0,12.5,268.0
777,110139ME,3,13,0,18.75,322.0
778,110141HO,4,23,0,14.8148148148,280.0
779,110142HO,2,16,0,11.1111111111,375.0
780,110154HO,2,17,0,10.5263157895,249.5
781,110155HO,6,26,1,18.1818181818,274.0
782,110157HO,3,0,0,100.0,122.0
783,110158HO,1,13,0,7.1428571428600005,345.0
784,110160HO,8,21,0,27.5862068966,222.25
785,110164HO,5,18,0,21.7391304348,255.5
786,110165HO,6,15,0,28.5714285714,183.0
787,110166HO,2,7,0,22.2222222222,219.5
788,110168HO,7,15,2,29.1666666667,162.5
789,110177HO,4,13,0,23.529411764699997,317.666666667
790,110178HO,3,11,0,21.428571428599998,218.33333333299998
791,110179HO,5,8,0,38.4615384615,185.0
793,110183HO,6,24,0,20.0,184.8
794,110185HO,5,21,0,19.2307692308,221.75
795,110188HO,7,30,0,18.9189189189,246.2
797,110192HO,2,11,1,14.2857142857,473.0
798,110198HO,4,8,0,33.3333333333,185.0
799,110199HO,5,17,0,22.7272727273,287.25
800,110203HO,7,17,1,28.0,187.25
801,110204ME,2,9,0,18.1818181818,277.0
802,110205HO,7,24,0,22.5806451613,227.25
803,110207HO,2,12,0,14.2857142857,254.0
804,110208HO,5,24,0,17.2413793103,372.0
805,110209HO,2,4,0,33.3333333333,133.0
806,110212HO,7,23,1,22.5806451613,255.0
807,110212ME,1,1,0,50.0,18.0
808,110214HO,2,15,0,11.7647058824,266.5
809,110217HO,1,3,0,25.0,82.0
810,110220HO,7,24,0,22.5806451613,253.75
811,110221HO,5,24,1,16.6666666667,362.33333333300004
812,110229HO,2,16,0,11.1111111111,301.5
813,110232HO,1,6,0,14.2857142857,235.0
814,110236HO,4,29,1,11.7647058824,321.666666667
815,110245HO,4,10,0,28.5714285714,190.0
816,110250HO,2,15,0,11.7647058824,240.5
817,110252HO,4,9,0,30.7692307692,139.0
818,110253HO,1,17,0,5.55555555556,466.0
819,110256HO,5,22,0,18.5185185185,252.75
820,110257HO,5,24,0,17.2413793103,261.0
821,110259HO,7,19,0,26.9230769231,231.6
822,110260HO,3,9,0,25.0,185.0
823,110264HO,2,2,0,50.0,208.0
824,110269HO,1,13,0,7.1428571428600005,470.0
825,110275HO,7,19,1,25.925925925900003,255.75
826,110280HO,4,4,0,50.0,202.25
827,110281HO,1,5,0,16.6666666667,196.0
828,110282HO,2,25,0,7.407407407410001,387.66666666699996
829,110287HO,6,25,0,19.3548387097,279.0
830,110290HO,2,2,1,40.0,150.0
831,110291HO,7,23,0,23.3333333333,189.2
832,110298HO,5,10,0,33.3333333333,149.0
833,110304HO,4,26,0,13.333333333299999,207.5
834,110305HO,4,12,1,23.529411764699997,268.0
836,110314HO,4,27,0,12.903225806500002,221.5
837,110316HO,5,32,0,13.5135135135,221.75
838,110319HO,4,11,0,26.6666666667,153.66666666700002
839,110329HO,5,29,0,14.7058823529,216.5
840,110335HO,6,33,0,15.3846153846,298.75
841,110337HO,7,29,1,18.9189189189,303.333333333
842,110338HO,4,7,0,36.3636363636,179.66666666700002
843,110339HO,5,11,0,31.25,202.33333333299998
844,110340HO,1,2,0,33.3333333333,98.0
845,110341JE,2,10,0,16.6666666667,209.5
846,110342HO,8,23,0,25.8064516129,255.2
847,110343HO,5,29,0,14.7058823529,249.2
848,110355HO,2,10,0,16.6666666667,393.0
849,110358HO,2,10,0,16.6666666667,175.5
850,110359HO,8,24,0,25.0,250.2
851,110360HO,7,21,0,25.0,255.6
852,110367HO,6,22,0,21.428571428599998,286.25
853,110370HO,6,23,0,20.6896551724,316.25
854,110376HO,5,12,2,26.315789473699997,262.5
855,110382HO,5,26,0,16.1290322581,307.75
856,110406HO,6,18,0,25.0,204.5
857,110410HO,4,22,0,15.3846153846,274.5
858,110412JE,5,20,0,20.0,199.0
859,110413HO,5,15,0,25.0,180.25
860,110417HO,6,21,0,22.2222222222,233.0
861,110424HO,7,25,0,21.875,222.6
862,110426HO,5,29,0,14.7058823529,244.75
863,110438HO,3,18,0,14.2857142857,299.333333333
865,110439HO,5,20,0,20.0,290.25
866,110442HO,3,8,1,25.0,186.5
867,110443HO,5,8,1,35.7142857143,187.5
868,110450HO,5,21,0,19.2307692308,250.25
869,110454HO,6,22,1,20.6896551724,233.0
870,110462HO,1,6,0,14.2857142857,141.0
872,110474HO,5,28,1,14.7058823529,330.666666667
873,110484HO,3,9,0,25.0,172.5
874,110485HO,3,12,0,20.0,358.0
875,110487HO,6,23,0,20.6896551724,251.75
876,110491HO,1,4,0,20.0,157.0
877,110513HO,6,24,0,20.0,218.0
878,110515HO,1,7,0,12.5,194.0
879,110519HO,6,16,0,27.2727272727,218.25
880,110520HO,8,22,0,26.6666666667,311.75
881,110522HO,3,13,0,18.75,145.0
882,110531HO,1,16,0,5.882352941180001,438.0
883,110532HO,5,25,0,16.6666666667,305.333333333
884,110533HO,7,19,0,26.9230769231,266.5
885,110534HO,2,5,0,28.5714285714,118.0
886,110539HO,5,15,0,25.0,161.33333333299998
887,110543HO,2,12,0,14.2857142857,299.5
888,110547JE,5,18,1,20.8333333333,221.25
889,110554HO,3,12,0,20.0,269.0
890,110555HO,6,21,0,22.2222222222,294.5
891,110562HO,4,17,0,19.0476190476,244.0
892,110563HO,3,9,0,25.0,101.0
893,110579HO,4,8,0,33.3333333333,196.0
894,110580HO,4,10,1,26.6666666667,233.0
895,110587HO,7,29,0,19.444444444400002,272.6
896,110589HO,5,19,0,20.8333333333,189.0
897,110591HO,1,7,0,12.5,389.0
898,110609HO,3,12,0,20.0,186.0
899,110613HO,3,10,0,23.0769230769,122.0
900,110614HO,2,3,0,40.0,81.0
901,110615HO,2,12,0,14.2857142857,274.0
902,110617HO,6,26,0,18.75,222.5
903,110636HO,3,22,0,12.0,276.666666667
904,110639HO,3,18,1,13.6363636364,181.5
906,110644HO,2,8,0,20.0,189.5
907,110654HO,6,28,1,17.1428571429,342.333333333
908,110657HO,1,5,0,16.6666666667,160.0
909,110658HO,3,22,0,12.0,306.0
910,110659HO,6,28,0,17.6470588235,271.75
911,110660HO,3,7,0,30.0,130.0
912,110662HO,5,26,0,16.1290322581,321.666666667
913,110664HO,4,12,1,23.529411764699997,247.33333333299998
914,110668HO,9,13,1,39.130434782600005,289.25
915,110669HO,4,16,0,20.0,221.33333333299998
916,110670HO,2,9,0,18.1818181818,197.0
917,110671HO,1,6,0,14.2857142857,161.0
918,110674HO,5,18,1,20.8333333333,234.25
919,110687HO,4,15,1,20.0,236.66666666700002
920,110688HO,2,18,0,10.0,221.0
921,110691HO,9,23,0,28.125,242.6
922,110693HO,3,8,0,27.2727272727,140.5
923,110697HO,4,28,0,12.5,338.666666667
924,110698HO,7,25,0,21.875,229.6
925,110705HO,7,28,0,20.0,196.4
927,110707HO,5,19,0,20.8333333333,161.5
928,110708HO,7,18,0,28.0,216.2
929,110712HO,5,25,0,16.6666666667,321.333333333
930,110728HO,10,24,0,29.4117647059,267.5
931,110735HO,3,11,1,20.0,271.0
932,110737HO,6,16,0,27.2727272727,212.5
933,110742HO,7,21,0,25.0,261.6
934,110745HO,5,21,1,18.5185185185,251.66666666700002
935,110747HO,1,4,0,20.0,147.0
936,110754HO,3,20,0,13.043478260899999,292.333333333
937,110769HO,4,32,0,11.1111111111,300.666666667
938,110770HO,2,14,0,12.5,294.0
939,110775HO,3,6,0,33.3333333333,150.0
940,110783HO,5,20,0,20.0,289.5
941,110786HO,6,25,0,19.3548387097,228.75
942,110794HO,5,27,1,15.151515151500002,298.0
943,110797HO,7,25,0,21.875,226.4
944,110802HO,4,14,1,21.0526315789,232.5
945,110807HO,4,11,1,25.0,237.0
946,110810HO,6,26,0,18.75,279.0
947,110811HO,5,25,0,16.6666666667,222.5
948,110813HO,3,15,0,16.6666666667,188.0
949,110814HO,3,7,1,27.2727272727,143.0
950,110819HO,7,22,0,24.1379310345,220.6
951,110820HO,5,20,3,17.8571428571,265.0
952,110829HO,4,11,0,26.6666666667,117.666666667
953,110832HO,7,20,1,25.0,260.0
954,110835HO,2,4,0,33.3333333333,190.0
955,110837HO,6,24,0,20.0,230.0
956,110838HO,8,23,0,25.8064516129,252.0
957,110840HO,1,3,0,25.0,76.0
958,110841HO,7,21,0,25.0,213.6
959,110842HO,7,26,0,21.2121212121,217.0
960,110848HO,5,8,0,38.4615384615,237.0
961,110853HO,7,22,0,24.1379310345,257.4
962,110854HO,7,19,0,26.9230769231,221.0
963,110855HO,1,1,0,50.0,0.0
964,110856HO,3,6,1,30.0,252.0
965,110859HO,5,22,0,18.5185185185,258.333333333
966,110860HO,6,23,0,20.6896551724,265.0
967,110866HO,6,21,1,21.428571428599998,262.0
968,110867HO,7,22,0,24.1379310345,160.4
969,110870HO,2,2,0,50.0,69.0
970,110873HO,6,28,0,17.6470588235,197.0
971,110874HO,5,18,0,21.7391304348,264.666666667
972,110877HO,5,26,0,16.1290322581,220.6
973,110879HO,6,21,0,22.2222222222,203.0
974,110883HO,5,25,0,16.6666666667,272.666666667
975,110887HO,6,23,0,20.6896551724,224.0
976,110894HO,2,13,0,13.333333333299999,273.5
977,110895HO,1,6,0,14.2857142857,244.0
978,110896HO,8,32,0,20.0,306.333333333
980,110901HO,8,27,0,22.8571428571,276.0
981,110903HO,6,22,0,21.428571428599998,225.5
982,110904HO,3,13,0,18.75,164.0
983,110915HO,6,21,0,22.2222222222,228.6
984,110919HO,3,2,1,50.0,65.0
985,110923HO,1,13,0,7.1428571428600005,479.0
986,110924HO,2,6,0,25.0,185.5
987,110926HO,3,7,1,27.2727272727,278.5
988,110930HO,7,22,0,24.1379310345,260.8
989,110931HO,5,29,0,14.7058823529,216.5
990,110936HO,3,21,0,12.5,302.0
992,110940HO,3,6,0,33.3333333333,154.0
993,110945HO,5,22,0,18.5185185185,240.0
994,110946HO,2,12,0,14.2857142857,223.5
995,110949HO,3,8,0,27.2727272727,195.5
996,110957HO,6,22,0,21.428571428599998,301.75
997,110961HO,2,17,0,10.5263157895,228.0
998,110967HO,4,19,1,16.6666666667,243.0
999,110968HO,4,9,0,30.7692307692,188.0
1000,110969HO,7,25,0,21.875,227.0
1001,110970HO,4,17,0,19.0476190476,276.333333333
1002,110971HO,4,29,0,12.1212121212,333.666666667
1003,110972HO,7,24,0,22.5806451613,208.75
1004,110975HO,7,21,0,25.0,278.0
1005,110979HO,2,14,0,12.5,335.0
1006,110982HO,2,13,0,13.333333333299999,293.0
1007,110986HO,5,27,0,15.625,290.666666667
1008,110990HO,4,15,0,21.0526315789,102.333333333
1009,111003HO,5,17,0,22.7272727273,262.75
1010,111005HO,7,31,0,18.421052631600002,241.75
1011,111016HO,7,25,0,21.875,321.0
1012,111019HO,6,20,0,23.0769230769,193.4
1013,111024HO,7,22,0,24.1379310345,222.0
1014,111029HO,3,8,0,27.2727272727,161.5
1015,111031HO,7,24,0,22.5806451613,270.75
1016,111049HO,5,16,0,23.809523809499996,179.0
1017,111050HO,6,14,1,28.5714285714,216.25
1018,111053HO,5,11,0,31.25,229.0
1019,111054HO,7,23,0,23.3333333333,227.2
1021,111068HO,4,24,0,14.2857142857,214.75
1022,111070HO,6,19,0,24.0,190.0
1023,111073HO,8,22,0,26.6666666667,243.2
1024,111084HO,7,24,0,22.5806451613,237.6
1025,111097HO,7,26,0,21.2121212121,295.75
1026,111106HO,7,21,0,25.0,266.4
1027,111109HO,6,21,0,22.2222222222,258.25
1029,111124HO,4,10,0,28.5714285714,185.33333333299998
1030,111126HO,6,21,0,22.2222222222,243.2
1031,111131HO,6,23,0,20.6896551724,291.25
1032,111142HO,7,27,0,20.588235294100002,289.0
1033,113389SD,4,24,0,14.2857142857,301.75
1034,113406SD,2,7,0,22.2222222222,98.5
